suffix	examples	suffix_initial	back	front	log_odds_back	suffix_freq	sd_back
Abl	havertól, hoteltől	C	1719	35423	-3.0256186002780945	37142	40.490017556521565
Acc	flóbertot, flóbertet/flőbörtöt	V	7932	312008	-3.6721236178488486	319940	87.95083102436897
Ade	havernál, modellnél	C	1809	27679	-2.7278997965160787	29488	41.2070782464929
All	matekhoz, projekthez	C	2663	84374	-3.455805990438813	87037	50.80868394331888
Dat	havernak, projektnek	C	7340	118881	-2.7847841501515216	126221	83.14544202108665
Del	matekról, projektről	C	1271	57488	-3.811772238163846	58759	35.26339948949733
Distr:nként/Adv	panelonként, projektenként	V	18	4857	-5.59780448444958	4875	4.234800876255985
Ela	matekból, modellből	C	11000	45842	-1.427305428673804	56842	94.1875382109815
Ill	fotelba, projektbe	C	10210	64146	-1.8377941030828435	74356	93.851161462324
Ine	panelban, projektben	C	21882	250775	-2.4388917417149507	272657	141.8656657373211
Ins	haverral, szoftverrel	C	11549	235248	-3.014041423702351	246797	104.92167677072622
Pl	haverok, projektek	V	28846	1095625	-3.6371089205141804	1124471	167.64848630900903
Pl.Poss.1Pl	bunkeraink, partnereink	V	2	117525	-10.981259175332386	117527	1.414201529226848
Pl.Poss.1Pl	haverjaink, projektjeink	C	278	8816	-3.4567024177020587	9094	16.416505396678996
Pl.Poss.1Sg	haveraim, partnereim	V	2	2885	-7.274132998382255	2887	1.413723621751299
Pl.Poss.1Sg	haverjaim, projektjeim	C	2042	1487	0.31716905226445585	3529	29.333070359555222
Pl.Poss.3Pl	haverjaik, projektjeik	C	676	6949	-2.330159967271363	7625	24.82073168364453
Pl.Poss.3Pl	sameszaik, partnereik	V	29	12463	-6.063223703839903	12492	5.3789103834535545
Pl.Poss.3Sg	haverjai, modelljei	C	5137	44512	-2.1592895642559014	49649	67.86378595375237
Pl.Poss.3Sg	sameszai, partnerei	V	152	89488	-6.377979296215093	89640	12.318370749436436
Poss.1Pl	haverunk, partnerünk	V	1639	106695	-4.175887997091896	108334	40.177149517655444
Poss.1Sg	haverom, partnerem	V	22020	24556	-0.10900509227071599	46576	107.7472949093784
Poss.2Pl	haverotok, koncertetek	V	151	1274	-2.1326369993171843	1425	11.61891983988245
Poss.2Sg	haverod, partnered	V	4495	23739	-1.6641535973715824	28234	61.47660176841724
Poss.3Pl	haverjuk, koncertjük	C	656	18140	-3.3197139347250384	18796	25.161576181542394
Poss.3Pl	pajeszuk, partnerük	V	75	12416	-5.10925312888669	12491	8.6342154111738445
Poss.3Sg	haverja, modellje	C	14434	206976	-2.6630163098645054	221410	116.159498748667
Poss.3Sg	samesza, partnere	V	679	206081	-5.715403446812129	206760	26.0148066199724
Subl	panelra, koncertre	C	4631	167660	-3.5891652917110966	172291	67.13064586400145
Supe	panelon, koncerten	V	3525	184920	-3.9600428628557927	188445	58.81379367017212
Transl	balekká, partnerré	C	246	11879	-3.8771958783571767	12125	15.524464232002392
